"Generation","Average Fitness","Best Fitness Individual","Average Correct Bits"
0,0.07253076947362785,0.7634076383301993,10.433333333333334
1,0.36783066955681837,0.7648224696499462,12.366666666666667
2,0.5706668332573901,0.8269178935134927,12.133333333333333
3,0.6048731043333034,0.8973912776874232,12.2
4,0.643745959649151,0.8974604908678456,12.5
5,0.7029472868294327,0.8975470140995297,12.6
6,0.7214252604621396,0.9655924877669992,12.666666666666666
7,0.739107679277718,0.8929543878108576,12.533333333333333
8,0.6930989742569535,0.8901849258052726,12.9
9,0.6929378074042452,0.8902879967299477,12.666666666666666
